HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer.TP,Answer.distro,Answer.long,Answer.medium,Answer.player,Answer.short,Approve,Reject
3MDKGGG61PM71EX4FIF2YDOZ0R76T8,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,3DIP6YHAPCRV3TWP85S78PF8FYLE8J,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:43:31 GMT 2014,Sun Mar 30 09:47:38 GMT 2014,Sun Mar 30 14:47:38 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,247,100% (78/78),100% (78/78),100% (78/78),2011855,Eleventh,Home (left),93:06:00,"1,9,5,2,4,2,5,6,7,5,0,2,2,0","7,9","30,34",42,"13,20",,
3RHLQY6EDS3M52XTA4M8WBMZ1ECD4A,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,3K2755HG5S2ZQ2SCKONTCZE92QYDF7,A2UZCL6H1RWDSM,Approved,Sun Mar 30 10:16:03 GMT 2014,Sun Mar 30 10:20:10 GMT 2014,Sun Mar 30 15:20:10 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,247,100% (78/78),100% (78/78),100% (78/78),2011855,First,Away (right),93:01:00,"0,4,1,1,1,2,0,1,1,3,1,0,0","6,7","8,9",1,"1,1",,
3HO4MYYR11NM1RCTFN5C39A1J5E6UZ,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,33LKR6A5KEJFHCU1ZF8NS1S14261TG,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:12:15 GMT 2014,Sun Mar 30 12:15:02 GMT 2014,Sun Mar 30 17:15:02 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,167,100% (78/78),100% (78/78),100% (78/78),2011855,Second,Away (right),93:06:00,"4,0,6,17,0,6,4,7,8,2,4,1,0","2,5","44,46",3,"13,16",,
3UOMW19E6C5UWTVFODA7HXAVGAV5C7,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,3R5F3LQFV2JWZGA1B9VGQL6QI91ZOG,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:25:41 GMT 2014,Sun Mar 30 12:28:00 GMT 2014,Sun Mar 30 17:28:00 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,139,100% (78/78),100% (78/78),100% (78/78),2011855,Third,Away (right),85;16,"0,5,0,12,25,8,11,4,14,12,5,1,0","6,8","66,73",4,"25,33",,
3V7ICJJAZ9FTQ5Z9W8V21LYZYT14BV,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,34HJIJKLP5VBM3V9RSR4RHNPD7S4V8,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:14:44 GMT 2014,Sun Mar 30 09:21:45 GMT 2014,Sun Mar 30 14:21:45 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,421,100% (78/78),100% (78/78),100% (78/78),2011855,Fourth,Away (right),93:06:00,"0,8,16,0,14,11,19,4,20,11,21,6,1","4,7","91,95",6,"36,38",,
3B286OTISDGEADD2T1IACC3CY85AJW,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,3PEIJLRY6TSFZUJO1DY5AU31DB0WXQ,A2UZCL6H1RWDSM,Approved,Sun Mar 30 10:42:24 GMT 2014,Sun Mar 30 10:46:12 GMT 2014,Sun Mar 30 15:46:12 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,228,100% (78/78),100% (78/78),100% (78/78),2011855,Fifth,Away (right),93:06:00,"1,1,25,15,0,1,11,2,12,12,4,1,2","5,5","47,55",8,"35,47",,
3D42WVSDH7UZ1TP9QH5500TR8SRFY8,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3PDJHANYK5FKJP435R3F9EGU1JL6H3,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:18:39 GMT 2014,Sun Mar 30 08:20:59 GMT 2014,Sun Mar 30 13:20:59 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,140,100% (78/78),100% (78/78),100% (78/78),2011855,Sixth,Away (right),73:05:00,"0,1,5,4,2,0,4,0,2,0,16,0,0","0,0","12,15",9,"22,35",,
3R5LWXWHRZ7GFOVUW5PLZ7MU71WXGI,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3U088ZLJVKS724DDY19Y1GGQ34HW0X,A38ZTNGQ9ZZB0J,Approved,Sun Mar 30 12:54:16 GMT 2014,Sun Mar 30 12:59:49 GMT 2014,Sun Mar 30 17:59:49 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,333,100% (3/3),100% (3/3),100% (3/3),2011855,Seventh,Away (right),93:06:00,"0,0,7,21,8,5,0,1,4,4,19,6,0","3,3","33,36",10,"39,47",,
3LB1BGHFL1V9KY7AL1AUH48SZ1ZYTZ,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3X0H8UUIT1N73DXP73SIBMM9YWYWSI,A2UZCL6H1RWDSM,Approved,Sun Mar 30 10:38:22 GMT 2014,Sun Mar 30 10:42:23 GMT 2014,Sun Mar 30 15:42:23 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,241,100% (78/78),100% (78/78),100% (78/78),2011855,Eighth,Away (right),93:06:00,"3,11,9,7,5,1,2,0,3,6,2,0,1","4,4","37,39",14,"9,12",,
3MVY4USGB5MMFYFQSJJ1LBII7ZNISO,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3U5NZHP4LR1STVM8KN2OFE7BWOBPHS,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:35:57 GMT 2014,Sun Mar 30 08:40:10 GMT 2014,Sun Mar 30 13:40:10 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,253,100% (78/78),100% (78/78),100% (78/78),2011855,Ninth,Away (right),93:06:00,"0,8,18,19,17,2,11,10,0,8,7,1,1","4,4","68,70",16,"30,34",,
3MJ28H2Y1D7V5ISIEIJYCX4C5OEO5N,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3EFE17QCRC4P6N20C46IAJCMJ8VSHO,ATEZ8PP5JPGAR,Approved,Sat Mar 29 23:20:03 GMT 2014,Sat Mar 29 23:26:03 GMT 2014,Sun Mar 30 11:26:03 GMT 2014,2014/03/30 11:27:33 +0000,,,360,100% (1/1),100% (1/1),100% (1/1),2011855,Tenth,Away (right),93:06:00,"1,  0, 19, 8, 27, 0,  21, 9, 11, 0, 0,  2","1, 2","47, 51",18,"31, 38",,
3J94SKDEKHO41L1TO95I13SD1A75D7,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3NG53N1RLVIZ0KLFHJ8I21ECT5Q8P1,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:06:33 GMT 2014,Sun Mar 30 12:09:33 GMT 2014,Sun Mar 30 17:09:33 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,180,100% (78/78),100% (78/78),100% (78/78),2011855,Eleventh,Away (right),93:06:00,"0,6,6,21,3,10,17,3,11,1,0,6,0","1,2","38,46",22,"45,47",,
3GMLHYZ0LDWOKBMZL604M0UUIF6YUQ,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3MAOD8E57Q9PC0AA9C7IEBQAKZTXNX,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:27:30 GMT 2014,Sun Mar 30 08:30:51 GMT 2014,Sun Mar 30 13:30:51 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,201,100% (78/78),100% (78/78),100% (78/78),2011865,First,Home (left),93:06:00,"0,7,0,2,0,0,1,4,3,1,4,0,0","9,1,8","13,13",1,"0,0",,
3P7RGTLO6DC9LXJKBMIMDR3PDX5AKV,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,39GAF6DQWRZUU4YQ4A82TJGM1NK1VU,A2UZCL6H1RWDSM,Approved,Sun Mar 30 10:25:19 GMT 2014,Sun Mar 30 10:38:21 GMT 2014,Sun Mar 30 15:38:21 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,782,100% (78/78),100% (78/78),100% (78/78),2011865,Second,Home (left),93:06:00,"7,0,5,7,2,9,3,3,8,0,2,0,0","4,5","32,38",3,"10,13",,
3J94SKDEKHO41L1TO95I13SD1A7D5F,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3W8CV64QJ2Y718613Y6RTO7WRKV9HJ,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:49:51 GMT 2014,Sun Mar 30 09:53:26 GMT 2014,Sun Mar 30 14:53:26 PDT 2014,Sun Mar 30 12:03:20 PDT 2014,,,215,100% (78/78),100% (78/78),100% (78/78),2011865,Third,Home (left),86:59:00,"0,0,0,10,20,5,4,2,3,13,6,1,0","1,1","42,49",4,"21,28",,
3VP28W7DUMJZ6JZEM37OE72TEMVFZZ,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:48 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:48 GMT 2014,,,3DBQWDE4Y6XGAHQ036ONMSZQR0JN5D,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:09:27 GMT 2014,Sun Mar 30 08:18:39 GMT 2014,Sun Mar 30 13:18:39 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,552,100% (78/78),100% (78/78),100% (78/78),2011865,Fourth,Home (left),93:06:00,"0,7,7,0,18,13,10,3,13,8,12,0,0","5,5","55,57",6,"31,33",,
3UOMW19E6C5UWTVFODA7HXAVGAWC5F,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,34Q075JO1XCE13XA1DKD8QQW7R9104,A38ZTNGQ9ZZB0J,Approved,Sun Mar 30 12:50:30 GMT 2014,Sun Mar 30 12:53:55 GMT 2014,Sun Mar 30 17:53:55 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,205,100% (3/3),100% (3/3),100% (3/3),2011865,Fifth,Home (left),93:06:00,"1,0,22,16,0,8,2,0,9,17,4,0,2","3,3","33,38",8,"45,52",,
3Q9SPIIRWIL0GXD1001P12XK04EWAD,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3EG49X351UBH5F4IAVL1C04OP966XY,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:43:55 GMT 2014,Sun Mar 30 08:45:41 GMT 2014,Sun Mar 30 13:45:41 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,106,100% (78/78),100% (78/78),100% (78/78),2011865,Sixth,Home (left),93:06:00,"0,1,4,11,11,0,8,1,3,2,4,0,1","0,1","29,33",10,"17,25",,
3E24UO25QYPROMSWJ1T343IC1JPO63,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,30OG32W0SUAG60JTE7HQQM534TKNEG,A2UZCL6H1RWDSM,Approved,Sun Mar 30 10:01:31 GMT 2014,Sun Mar 30 10:11:41 GMT 2014,Sun Mar 30 15:11:41 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,610,100% (78/78),100% (78/78),100% (78/78),2011865,Seventh,Home (left),80:21:00,"0,1,4,10,1,5,0,2,3,0,7,0,0","1,2","18,23",11,"14,26",,
